HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer,weights,caseser
0,0,0,0,0,0,0,0,12,0,23,529,0.92,1,1,0,0,0,0,1,0,0,0,0,0,0,4.018805855,1,126.6943197,1207345
0,0,0,1,0,0,0,0,8,0,22,484,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,3.683087002,2,1084.017212,1309405
0,0,0,0,1,1,0,0,10,0.1,19,361,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,3.846489798,3,222.4548596,2215561
0,0,0,0,0,0,0,0,4,0,14,196,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,4.285482602,4,110.1298779,3322641
0,0,0,0,0,0,0,0,2,0,11,121,4.5,1,1,0,0,0,0,1,0,0,0,0,0,0,4.039358306,5,130.1328364,1207699
0,0,0,0,0,1,0,0,12,0,20,400,0.67,1,0,0,0,0,0,0,1,0,0,0,0,0,4.60054082,6,29.36874092,3323025
0,0,1,1,0,0,0,0,9,0.111,16,256,0.78,0,0,1,0,0,0,0,0,0,0,0,0,0,3.943325418,7,65.30829965,2217181
0,0,0,0,0,0,0,0,2,0,10,100,4,0,1,0,0,0,0,0,0,0,0,1,0,0,4.486264945,8,66.09069928,2318439
0,0,0,1,0,0,0,0,1,0,7,49,6,0,0,0,1,0,0,0,0,0,0,0,0,0,4.313175747,9,281.1702472,1101819
0,0,0,1,0,0,0,0,1,0,6,36,5,0,1,1,0,0,0,0,0,0,0,0,0,0,4.065511181,10,64.50033097,2216941
0,0,1,0,0,0,0,0,1,0,7,49,6,0,1,0,0,0,0,0,0,0,0,0,0,0,4.10800943,11,114.5311794,2114689
0,0,0,0,0,0,0,0,3,0,12,144,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4.029314555,12,72.71598377,1309681
0,0,0,0,0,0,1,0,3,0,13,169,3.33,1,0,0,0,1,0,0,0,0,0,0,0,0,4.90624424,13,27.4402722,3222581
0,0,1,0,0,0,0,0,7,0,14,196,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.404189532,14,37.39349647,3424379
0,0,0,0,0,1,0,0,3,0,12,144,3,1,1,0,0,0,0,0,0,1,0,0,0,0,3.498276118,15,42.97144148,3424381
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.436766157,16,79.86309213,2217511
0,1,0,0,0,1,0,0,1,0,6,36,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.647171849,17,62.05631617,2217381
0,0,0,0,0,0,0,0,2,0,9,81,3.5,1,1,1,0,0,0,0,0,0,0,0,0,0,4.303690592,18,27.75535122,2217881
0,0,0,0,0,1,0,0,1,0,6,36,5,0,1,0,0,0,0,0,0,0,1,0,0,0,4.3735046,19,207.4523045,3119755
0,0,1,0,0,0,0,0,1,0,6,36,5,0,1,0,0,0,0,0,0,0,1,0,0,0,4.17531444,20,123.3779516,3120801
0,0,0,0,0,1,0,0,9,0,18,324,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.084816871,21,307.2796999,1103111
0,0,0,0,0,0,0,0,7,0,13,169,0.86,0,1,0,0,0,0,0,0,1,0,0,0,0,2.88478869,22,31.19676308,3424721
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,1,0,0,0,0,0,0,0,1,0,0,0,3.691708507,23,12.66101553,3121689
0,0,0,0,0,0,0,0,2,0.5,8,64,3,0,1,0,0,0,0,0,0,0,0,0,1,0,4.101001294,24,51.63366253,1411485
0,0,0,0,0,1,0,0,3,0,11,121,2.67,0,0,0,0,0,0,1,0,0,0,0,0,0,3.924025465,25,200.7402217,1208111
0,0,0,0,0,1,0,0,2,0,10,100,4,1,1,0,0,0,0,0,0,1,0,0,0,0,4.207228351,26,37.39349647,3424375
0,0,0,0,0,0,0,0,3,0,10,100,2.33,0,0,0,0,0,0,0,1,0,0,0,0,0,3.919265356,27,67.3663232,3323955
0,0,0,0,0,1,0,0,9,0.111,16,256,0.78,1,0,0,0,1,0,0,0,0,0,0,0,0,3.635275977,28,36.50749258,3222479
0,0,0,0,0,1,0,0,3,0,10,100,2.33,0,1,1,0,0,0,0,0,0,0,0,0,0,4.122152738,29,88.95464437,2217601
0,0,0,0,0,0,0,1,6,0,15,225,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,4.137597088,30,160.1595303,2113065
0,0,0,0,0,1,0,0,11,0,16,256,0.45,0,0,0,0,0,0,0,0,0,1,0,0,0,4.711453236,31,54.42357072,3120709
0,0,0,0,0,1,0,0,3,0,11,121,2.67,1,1,1,0,0,0,0,0,0,0,0,0,0,4.342206539,32,65.50598989,2216569
1,0,0,1,0,1,0,0,1,0,6,36,5,0,0,0,0,0,0,1,0,0,0,0,0,0,4.216139814,33,214.3114827,1207429
0,0,1,0,0,0,0,0,1,0,7,49,6,1,1,0,0,0,1,0,0,0,0,0,0,0,5.171846181,34,113.3107139,1309911
0,0,0,1,0,0,1,0,1,0,7,49,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4.998955211,35,754.8912179,1309983
0,0,0,0,0,0,0,0,7,0.143,12,144,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,3.641311913,36,122.7163081,2217589
0,0,1,0,0,0,0,0,2,0,8,64,3,0,1,1,0,0,0,0,0,0,0,0,0,0,4.364207376,37,37.67999195,2217805
0,0,0,0,0,0,0,0,2,0,8,64,3,0,1,0,0,0,0,0,1,0,0,0,0,0,4.342324022,38,47.98903364,3323701
0,0,0,1,0,0,0,0,1,0,5,25,4,0,1,1,0,0,0,0,0,0,0,0,0,0,4.381123542,39,45.19347029,2216321
0,0,0,0,0,0,0,0,5,0,11,121,1.2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.655324374,40,67.54351662,2216871
0,0,0,0,0,1,0,0,4,0,11,121,1.75,0,1,1,0,0,0,0,0,0,0,0,0,0,4.009419518,41,45.19347029,2216329
0,0,0,0,0,0,0,0,2,0,9,81,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,4.298216245,42,301.4426583,1100275
0,0,0,0,0,0,0,0,9,0,15,225,0.67,0,0,0,1,0,0,0,0,0,0,0,0,0,4.368465923,43,1707.728247,1102305
0,0,1,0,0,0,0,0,4,0,12,144,2,1,1,0,0,0,0,1,0,0,0,0,0,0,4.298537412,44,116.7230907,1207525
0,0,0,0,0,0,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4.396815427,45,432.8572123,3119782
0,0,0,1,0,0,0,0,1,0,6,36,5,0,0,0,0,0,1,0,0,0,0,0,0,0,4.334806356,46,346.690782,1309105
0,0,0,1,0,0,0,0,1,0,5,25,4,0,1,0,0,0,0,0,0,1,0,0,0,0,4.538446543,47,31.19676308,3424725
0,0,0,0,0,0,0,0,4,0,10,100,1.5,0,1,0,0,0,0,0,0,0,1,0,0,0,3.965447323,48,118.6001251,3121695
0,1,0,0,0,1,0,0,1,0,6,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.945457982,49,114.7106953,2114809
0,1,0,0,0,1,0,0,1,0,6,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.204093416,50,129.7282411,2115109
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,1,0,0,0,0,0,0,0,0,0,0,1,3.934078721,51,156.6233356,2418581
0,0,0,0,0,0,0,0,4,0,10,100,1.5,0,1,0,0,0,0,1,0,0,0,0,0,0,4.251087557,52,535.0853295,1206569
0,0,0,0,0,0,1,0,10,0,16,256,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.444485354,53,314.571753,2112669
0,0,0,0,0,0,0,0,2,0,8,64,3,0,1,0,0,0,0,0,0,0,0,0,1,0,5.253420163,54,29.61890194,1411971
0,0,0,0,0,0,1,0,6,0,15,225,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.712958267,55,1065.552235,2112641
0,1,0,0,0,1,0,0,1,0,6,36,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5.596740452,56,140.6622199,2114619
0,0,0,0,0,0,0,0,2,0,8,64,3,1,1,1,0,0,0,0,0,0,0,0,0,0,4.56660746,57,192.1236049,2216419
