HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer
0,0,0,0,1,0,0,0,2,0.5,10,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.129445525,1
0,0,0,0,1,0,0,0,2,0,9,81,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14340008,2
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.169461466,3
0,0,0,0,1,1,0,0,3,0.667,12,144,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.278134809,4
0,0,0,0,1,0,0,0,2,0,10,100,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3.211480547,5
0,0,0,0,0,1,0,0,3,0,12,144,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3.309088184,6
0,0,0,0,1,1,0,0,2,0,8,64,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3.275974237,7
0,0,0,0,0,0,0,0,2,0,9,81,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.356606721,8
0,0,0,0,0,1,0,0,1,0,7,49,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3.369200419,9
0,0,0,0,1,0,1,0,2,0.5,8,64,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3.374716504,10
0,0,0,0,0,0,1,0,3,0,13,169,3.33,0,0,0,0,0,1,0,0,0,0,0,0,0,3.391398245,11
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3.398464484,12
0,0,0,0,0,0,0,0,3,0,11,121,2.67,1,0,0,0,0,0,0,1,0,0,0,0,0,3.401300407,13
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,3.402178382,14
0,0,0,0,0,0,1,0,2,0,8,64,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3.43145982,15
0,0,0,0,0,1,0,0,3,0,10,100,2.33,0,0,0,0,0,0,1,0,0,0,0,0,0,3.433428984,16
0,0,0,0,0,0,0,0,4,0,11,121,1.75,0,0,0,0,0,0,0,1,0,0,0,0,0,3.442900442,17
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.379239004,18
0,0,0,0,0,0,0,0,1,0,7,49,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2.842764227,19
0,0,0,0,0,1,0,0,1,0,7,49,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2.9161942,20
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,1,0,0,0,1,0,0,0,0,0,0,0,3.449108853,21
0,0,0,0,1,1,0,0,4,0,11,121,1.75,0,0,0,1,0,0,0,0,0,0,0,0,0,3.451017318,22
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3.458455559,23
0,0,0,0,1,0,1,0,2,0,9,81,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,3.464245209,24
0,0,0,0,0,0,1,0,1,0,7,49,6,0,0,0,0,0,0,1,0,0,0,0,0,0,3.00974788,25
0,0,0,0,0,0,1,0,3,0,11,121,2.67,0,1,0,0,0,0,1,0,0,0,0,0,0,3.47407321,26
0,0,0,0,1,1,0,0,2,0.5,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.482009024,27
0,0,0,0,0,0,0,0,2,0,8,64,3,1,0,0,0,0,0,1,0,0,0,0,0,0,3.482558451,28
0,0,0,0,0,0,0,0,2,0,8,64,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3.485772112,29
0,0,0,0,0,1,0,0,4,0,13,169,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,3.487391544,30
0,0,0,0,0,1,0,0,1,0,7,49,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3.200804954,31
0,0,0,0,0,1,0,0,3,0,11,121,2.67,0,1,0,0,0,0,1,0,0,0,0,0,0,3.492814801,32
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.495722742,33
0,0,0,0,0,1,0,0,3,0,9,81,2,0,1,0,0,0,0,0,0,1,0,0,0,0,3.505030064,34
0,0,0,0,0,0,0,0,2,0,9,81,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.320111846,35
0,0,0,0,0,1,0,0,2,0,12,144,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.064702367,36
0,0,0,0,0,1,0,0,3,0,10,100,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3.513302104,37
0,0,0,0,0,1,0,0,2,0,10,100,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3.522328879,38
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3.530264658,39
0,0,0,0,0,1,0,0,2,0,10,100,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3.535022898,40
1,0,0,0,0,1,0,0,3,0,10,100,2.33,0,1,0,0,0,0,0,0,0,0,0,0,0,3.539012503,41
0,0,0,0,1,1,0,0,2,0,11,121,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14246983,42
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3.557891762,43
0,0,0,0,1,0,1,0,5,0,13,169,1.6,0,0,0,1,0,0,0,0,0,0,0,0,0,3.560840642,44
